rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1605273875073932294,,0,,1605273874,999666459,"""map_zed""",,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1605273875112408571,,1,,1605273875,66442459,"""map_zed""",,,-2.4055627941811402e-05,2.5950373809535687e-06,-0.0005576557309136918,,0.00464990174280971,0.01686647713454743,-0.00012207031198033694,0.9998469310157885
1605273875179963347,,2,,1605273875,133207459,"""map_zed""",,,-1.4757402850241114e-05,-1.466274557528069e-06,-0.0005406721857451139,,0.00466749345990366,0.01687663401215645,0.0,0.9998466851118832
1605273875250215595,,3,,1605273875,199921459,"""map_zed""",,,-3.562165137854425e-05,1.3085454490947834e-05,-0.000540261262188924,,0.004651503444216169,0.01687928219060879,0.0,0.9998467149260623
1605273875311639576,,4,,1605273875,266792459,"""map_zed""",,,-1.557641561579654e-05,-3.1855553580942275e-05,-0.0005391390482318825,,0.0045918559958254826,0.016852776878757126,0.0,0.9998474377473737
1605273875378207396,,5,,1605273875,333549459,"""map_zed""",,,-1.0281739285744813e-05,-3.1520426492383236e-05,-0.0005439755872674141,,0.004635458188376778,0.016883255338096807,0.0,0.9998467223612689
1605273875446656902,,6,,1605273875,400293459,"""map_zed""",,,-1.0870867889846237e-05,-1.7416328486785648e-05,-0.0005527657122695152,,0.004632242400885192,0.016869127427303746,0.0,0.9998469757268763
1605273875511407004,,7,,1605273875,467043459,"""map_zed""",,,7.804700236557869e-05,-9.181484608075663e-05,-0.0005262641245882387,,0.004648298763499818,0.01686956849703006,0.0,0.9998468937679055
1605273875578273227,,8,,1605273875,533810459,"""map_zed""",,,6.773063610845e-05,-9.434014591764434e-05,-0.0005135306986066931,,0.004638671578830783,0.01686294269183861,0.0,0.9998470502480644
1605273875646522315,,9,,1605273875,600548459,"""map_zed""",,,4.283906405857836e-05,-7.939919837207654e-05,-0.0005097573464416674,,0.0046241935145404315,0.01687398545700607,0.0,0.9998469310095105
1605273875711656389,,10,,1605273875,667422459,"""map_zed""",,,3.3403128212997285e-05,-7.702186709314385e-05,-0.0005321769996693109,,0.0046112857810183825,0.0168501247229727,0.0,0.9998473930256887
1605273875777783019,,11,,1605273875,734173459,"""map_zed""",,,6.762370185652663e-05,-9.199380906885213e-05,-0.0005422261778642022,,0.0046112855404942124,0.016856754860330836,0.0,0.9998472812691159
1605273875845511397,,12,,1605273875,800921459,"""map_zed""",,,7.096003198968561e-05,-9.186223136861682e-05,-0.0005458074329037482,,0.004625804633883142,0.016860291039510773,0.0,0.9998471545779145
1605273875912713944,,13,,1605273875,867673459,"""map_zed""",,,0.00014179782444666506,-0.00015612900291711584,-0.0005448113607906651,,0.004624193273400068,0.016877074705197323,0.0,0.9998468788699425
1605273875978171158,,14,,1605273875,934419459,"""map_zed""",,,7.199577143415896e-05,-0.00011998534256120463,-0.0005535955165680718,,0.004604817902670429,0.016859407015433796,0.0,0.9998472663598031
1605273876046288628,,15,,1605273876,1302459,"""map_zed""",,,0.00010239193048883662,-0.00013567879857809967,-0.0005620086533491628,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876114116879,,16,,1605273876,68052459,"""map_zed""",,,0.00011712545361925349,-0.00014377012910635895,-0.0005680305341849232,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876179604653,,17,,1605273876,134795459,"""map_zed""",,,0.00012889737096239315,-0.00015034899177344269,-0.000573479746224744,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876246300186,,18,,1605273876,201555459,"""map_zed""",,,0.0001393579861204742,-0.00015621259870322174,-0.0005784121833750175,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876313200042,,19,,1605273876,268306459,"""map_zed""",,,0.00014880532231737362,-0.00016150251092703766,-0.0005828770238332578,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876380991492,,20,,1605273876,335178459,"""map_zed""",,,0.00015735300090719448,-0.00016629323425085968,-0.0005869186291130388,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876446705189,,21,,1605273876,401932459,"""map_zed""",,,0.00016508856621195065,-0.00017062574686797088,-0.0005905771115686872,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876513580116,,22,,1605273876,468681459,"""map_zed""",,,0.0001720958372633575,-0.00017455220284254974,-0.0005938888073325285,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876581131948,,23,,1605273876,535431459,"""map_zed""",,,0.00017843441870619045,-0.00017810240449698395,-0.0005968865673531906,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876647388339,,24,,1605273876,602181459,"""map_zed""",,,0.00018417322841097103,-0.00018132105531485504,-0.0005996001721251884,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876715126061,,25,,1605273876,669060459,"""map_zed""",,,0.00018936628308702694,-0.0001842305070379538,-0.0006020565354157367,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876780007492,,26,,1605273876,735812459,"""map_zed""",,,0.0001940694620888351,-0.00018686801256926483,-0.0006042800535107159,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
1605273876849719478,,27,,1605273876,802562459,"""map_zed""",,,0.00019832746889997707,-0.00018925219836028045,-0.0006062927943895699,,0.0046193568471245856,0.016843932412447377,0.0,0.9998474601073926
