rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1605262582563305083,,1,,1605262582,523404598,"""base_imu""",,42.1875,-8.5625,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582613903892,,2,,1605262582,580072641,"""base_imu""",,41.75,-8.5625,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582661625926,,3,,1605262582,629794597,"""base_imu""",,41.75,-9.25,-52.875,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582707441182,,4,,1605262582,676401376,"""base_imu""",,41.375,-8.875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582751219833,,5,,1605262582,722646236,"""base_imu""",,42.5625,-8.1875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582785702772,,6,,1605262582,772597551,"""base_imu""",,42.1875,-8.5625,-53.25,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582833036193,,7,,1605262582,820672035,"""base_imu""",,42.1875,-8.875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582878011052,,8,,1605262582,869171380,"""base_imu""",,41.0625,-8.1875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582929517266,,9,,1605262582,919377088,"""base_imu""",,41.75,-8.1875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262582982659823,,10,,1605262582,970232486,"""base_imu""",,42.1875,-7.75,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583047000006,,11,,1605262583,25275468,"""base_imu""",,42.1875,-8.1875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583083253081,,12,,1605262583,71107387,"""base_imu""",,42.1875,-8.875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583134289881,,13,,1605262583,121120452,"""base_imu""",,41.75,-8.1875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583182718132,,14,,1605262583,170729160,"""base_imu""",,41.75,-8.1875,-53.25,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583235251400,,15,,1605262583,221763610,"""base_imu""",,41.0625,-8.5625,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583306546015,,16,,1605262583,275700330,"""base_imu""",,41.0625,-8.5625,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583337711212,,17,,1605262583,322029113,"""base_imu""",,42.1875,-8.875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583384348111,,18,,1605262583,372118473,"""base_imu""",,41.75,-8.875,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583436397661,,19,,1605262583,421861171,"""base_imu""",,42.1875,-8.1875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583486230379,,20,,1605262583,471374988,"""base_imu""",,42.1875,-8.875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583535249903,,21,,1605262583,521528244,"""base_imu""",,41.75,-8.875,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583584439029,,22,,1605262583,571878194,"""base_imu""",,41.375,-8.5625,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583635143024,,23,,1605262583,621707201,"""base_imu""",,41.75,-8.5625,-52.875,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583697509131,,24,,1605262583,674549341,"""base_imu""",,42.5625,-8.5625,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583737764214,,25,,1605262583,723102092,"""base_imu""",,42.1875,-8.5625,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583885093957,,26,,1605262583,857998132,"""base_imu""",,41.75,-8.875,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583924535876,,27,,1605262583,898540496,"""base_imu""",,41.75,-8.875,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262583965433080,,28,,1605262583,939966917,"""base_imu""",,41.375,-8.5625,-51.375,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584014730080,,29,,1605262583,984617710,"""base_imu""",,42.5625,-9.25,-52.5,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584072286585,,30,,1605262584,34699916,"""base_imu""",,42.1875,-8.875,-53.25,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584119965226,,31,,1605262584,90975522,"""base_imu""",,41.75,-8.875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584158172665,,32,,1605262584,137756824,"""base_imu""",,41.75,-8.1875,-52.0625,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584184544548,,33,,1605262584,169311285,"""base_imu""",,41.75,-8.1875,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
1605262584221003195,,34,,1605262584,203033447,"""base_imu""",,41.75,-8.1875,-51.75,"[0.002, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.002]"
