rosbagTimestamp,linear,x,y,z,angular,x,y,z
1605614839689240313,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614840189040617,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614840689413632,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614841189925016,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614841689678369,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614842188352346,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614842688863052,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614843189378364,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614843688347443,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614844188920128,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614844688697503,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614845189096486,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614845688817729,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614846188555962,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614846688607830,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614847188775634,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614847689001261,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614848188351898,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614848689333532,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614849188733797,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614849688429841,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614850188697860,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614850688742929,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614851188885950,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614851688343295,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614852188758028,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614852688362892,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614853189103578,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614853689182397,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614854189057275,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614854688483857,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614855189326234,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614855688912334,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614856188866374,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614856688402678,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614857188626127,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614857688748611,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614858188884247,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614858688704772,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614859188918997,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614859689371752,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614860188853643,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614860688627760,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614861188427668,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614861688921983,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614862188440796,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614862688719873,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614863188873187,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614863688921953,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614864188599641,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614864688461937,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614865188816207,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614865689229451,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614866189175520,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614866689597305,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614867188684861,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614867688654060,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614868188396982,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614868689051564,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614869189181272,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614869688772155,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614870189141351,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614870689369039,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614871189610230,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614871688515912,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614872189295443,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614872689225712,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614873189407215,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614873689135429,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614874189571268,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614874689220182,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614875189112170,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614875607819858,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614875688922939,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614875707586278,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614875807477755,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614875907589972,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876007903376,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876107446815,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876188469254,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614876207463638,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876307620943,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876407562500,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876507501306,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876607624658,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876689063039,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614876707843435,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876808085765,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614876907540980,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877007639467,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877107916517,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877189292688,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614877207616982,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877307623756,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877407912902,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877507632216,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877607834224,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877688878231,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614877707661700,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877807558424,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614877907774993,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614878007646564,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614878107783483,,0.3,0.0,0.0,,0.0,0.0,0.0
1605614878189405130,,0.0,0.0,0.0,,0.0,0.0,0.0
1605614878208031828,,0.3,0.0,0.0,,0.0,0.0,0.0
