rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,twist,twist,linear,x,y,z,angular,x,y,z,covariance
1604397323502425408,,112,,1604397323,501981504,"""gps""",,,,-0.068,0.026000000000000002,0.0,,0.0,0.0,0.0,"[1.3502439999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3502439999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3502439999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397324501425632,,113,,1604397324,500976000,"""gps""",,,,0.019,0.044,0.0,,0.0,0.0,0.0,"[1.338649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.338649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.338649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397325500577344,,114,,1604397325,500001984,"""gps""",,,,-0.075,0.136,0.0,,0.0,0.0,0.0,"[2.3716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397326501648704,,115,,1604397326,500985088,"""gps""",,,,0.014,0.058,0.0,,0.0,0.0,0.0,"[1.628176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.628176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.628176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397327502584000,,116,,1604397327,501764896,"""gps""",,,,0.077,0.192,0.0,,0.0,0.0,0.0,"[1.3618890000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3618890000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3618890000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397328500934016,,117,,1604397328,499791072,"""gps""",,,,0.034,0.114,0.0,,0.0,0.0,0.0,"[1.517824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.517824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.517824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397329500907232,,118,,1604397329,500238016,"""gps""",,,,0.034,-0.045,0.0,,0.0,0.0,0.0,"[2.2111690000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2111690000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2111690000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397330501024416,,119,,1604397330,500308352,"""gps""",,,,-0.023,-0.001,0.0,,0.0,0.0,0.0,"[0.744769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.744769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.744769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397331501398976,,120,,1604397331,500740864,"""gps""",,,,-0.136,-0.193,0.0,,0.0,0.0,0.0,"[0.994009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.994009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.994009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397332498264992,,121,,1604397332,497910112,"""gps""",,,,-0.004,-0.367,0.0,,0.0,0.0,0.0,"[2.082249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.082249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.082249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1604397333501107424,,122,,1604397333,500555680,"""gps""",,,,0.148,-0.897,0.0,,0.0,0.0,0.0,"[3.3525609999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3525609999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3525609999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
