rosbagTimestamp,data
1607624987253664601,628
1607624987286944274,628
1607624987315320957,628
1607624987347710798,628
1607624987376267738,628
1607624987407415871,628
1607624987438798022,628
1607624987468323644,628
1607624987499221438,628
1607624987530390659,628
1607624987562074157,628
1607624987590459448,628
1607624987621153113,628
1607624987652817987,628
1607624987684182794,628
1607624987715232014,628
1607624987744966981,628
1607624987774480059,628
1607624987806593161,628
1607624987837486187,628
1607624987867521445,628
1607624987898063461,628
1607624987928281985,628
1607624987958674463,628
1607624987989614434,628
1607624988021669167,628
1607624988051543400,628
1607624988083657238,628
1607624988114725018,628
1607624988144238160,628
1607624988175550230,628
1607624988206770076,628
1607624988235743468,628
1607624988266337484,628
1607624988297858356,628
1607624988327643949,628
1607624988359461592,628
1607624988389456658,628
1607624988421180604,628
1607624988450747186,628
1607624988482059481,628
1607624988512301909,628
1607624988543962271,628
1607624988573472981,628
1607624988605017757,628
1607624988635923136,628
1607624988665771449,628
1607624988697005310,628
1607624988728014306,628
1607624988758011740,628
1607624988788982879,628
1607624988818543029,628
1607624988850107454,628
1607624988880958240,628
1607624988911206013,628
1607624988941310104,628
1607624988973190564,628
1607624989002798010,628
1607624989035827377,628
1607624989064776897,628
1607624989095904102,628
1607624989125372219,628
1607624989156149565,628
1607624989187698693,628
1607624989218586600,628
1607624989248779332,628
1607624989280069002,628
1607624989311256816,628
1607624989341422027,628
1607624989371790281,628
1607624989402242024,628
1607624989433281739,628
1607624989464997590,628
1607624989494250825,628
1607624989524724296,628
1607624989556717845,628
1607624989586627598,628
1607624989617043564,628
1607624989648112592,628
1607624989678639023,628
1607624989709424241,628
1607624989740351860,628
1607624989771170934,628
1607624989803287748,628
1607624989832972795,628
1607624989862332239,628
1607624989894453181,628
1607624989924357815,628
1607624989955393019,628
1607624989986572256,628
1607624990016590906,628
1607624990047286715,628
1607624990078308799,628
1607624990107987830,628
1607624990139356797,628
1607624990169727803,628
1607624990200936065,628
1607624990231512352,628
1607624990261748733,628
1607624990292466430,628
1607624990323277728,628
1607624990354068129,628
1607624990384710178,628
1607624990416356331,628
1607624990446230276,628
1607624990476450049,628
1607624990508249004,628
1607624990538794251,628
1607624990575379811,628
1607624990600026859,628
1607624990631697493,628
1607624990662090675,628
1607624990693081623,628
1607624990722367018,628
1607624990753905395,628
1607624990784038926,628
1607624990815758009,628
1607624990845959829,628
1607624990877021689,628
1607624990907719258,628
1607624990937699124,628
1607624990968389461,628
1607624990999821085,628
1607624991029920760,628
1607624991061342943,628
1607624991091803230,628
1607624991121851129,628
1607624991152546202,628
1607624991183797216,628
1607624991213480727,628
1607624991244742013,628
1607624991276333574,628
1607624991305860668,628
1607624991337176995,628
1607624991368272072,628
1607624991398430979,628
1607624991428703264,628
1607624991459602435,628
1607624991490506854,628
1607624991520922340,628
1607624991551559940,628
1607624991582355654,628
1607624991613640108,628
1607624991644284365,628
1607624991674463881,632
1607624991705179498,637
1607624991736667666,639
1607624991766497227,640
1607624991797833266,641
1607624991828538130,644
1607624991858576045,647
1607624991890318456,649
1607624991920094256,652
1607624991951054259,655
1607624991981930070,657
1607624992012005105,659
1607624992043736508,661
1607624992074608094,663
1607624992104901307,665
1607624992135866495,668
1607624992166344253,670
1607624992197219712,673
1607624992227561918,675
1607624992258773987,677
1607624992289912840,680
1607624992319947107,682
1607624992351577037,685
1607624992381930666,688
1607624992411405664,690
1607624992443666863,693
1607624992474278159,695
1607624992503889254,698
1607624992534703656,700
1607624992567531581,703
1607624992597228565,706
1607624992627950166,709
1607624992658470389,712
1607624992689098261,715
1607624992718892302,718
1607624992750327573,721
1607624992781713085,724
1607624992812343741,728
1607624992843160191,732
1607624992873765919,735
1607624992905341672,738
1607624992935784295,741
1607624992966180997,745
1607624992996407713,748
1607624993026966625,751
1607624993059270769,754
1607624993090558840,757
1607624993119701546,760
1607624993150838703,763
1607624993181026251,766
1607624993212263857,770
1607624993242016329,774
1607624993273029581,777
1607624993303076008,779
1607624993335686875,782
1607624993365583220,786
1607624993396559736,790
1607624993425913868,793
1607624993457487606,796
1607624993487443535,800
1607624993518679542,803
1607624993550411712,806
1607624993581515237,810
1607624993612088965,814
1607624993641794012,817
1607624993672657279,821
1607624993704155271,824
1607624993734651622,828
1607624993765070501,831
1607624993796472332,835
1607624993826003426,839
1607624993856877509,842
1607624993888829874,846
1607624993918762379,850
1607624993949772367,854
1607624993980939317,857
1607624994011799223,860
1607624994041485327,864
1607624994073077208,868
1607624994102749648,872
1607624994133382832,875
1607624994165029562,878
1607624994195396856,882
1607624994226382395,886
1607624994255941970,889
1607624994286757556,892
1607624994318674048,896
1607624994349559651,899
1607624994380292132,902
1607624994410172766,905
1607624994441545605,909
1607624994472463016,912
1607624994502254881,915
1607624994533888203,919
1607624994564650092,922
1607624994594667655,924
1607624994625244519,928
1607624994656722127,932
1607624994686712425,935
1607624994717134568,937
1607624994748437678,940
1607624994779084879,943
1607624994811164445,947
1607624994840715347,951
1607624994871067953,954
1607624994902616634,956
1607624994933571549,959
1607624994963375158,962
1607624994994279961,965
1607624995025199836,968
1607624995055740860,971
1607624995086137818,974
1607624995117743587,977
1607624995148560518,979
1607624995178538528,982
1607624995208576667,985
1607624995240504103,988
1607624995270427905,991
1607624995301550310,993
1607624995332344776,995
1607624995362230018,997
1607624995393775723,999
1607624995425102610,1002
1607624995455386063,1005
1607624995486508052,1007
1607624995516453550,1010
1607624995547299824,1013
1607624995578552631,1015
1607624995609144087,1018
1607624995639310835,1020
1607624995671492066,1023
1607624995700768469,1026
1607624995732104668,1029
1607624995763414403,1031
1607624995793994531,1033
1607624995825321098,1035
1607624995855185699,1036
1607624995886120455,1039
1607624995917001929,1041
1607624995947633226,1043
1607624995977735877,1045
1607624996009156109,1049
1607624996039178920,1051
1607624996069470341,1052
1607624996101045903,1054
1607624996131606190,1057
1607624996161785771,1059
1607624996193303571,1061
1607624996224439929,1063
1607624996254032367,1066
1607624996284838354,1069
1607624996316448891,1071
1607624996347156028,1073
1607624996377211544,1076
1607624996408453822,1078
1607624996438980317,1080
1607624996469795903,1082
1607624996501074694,1085
1607624996531242274,1088
1607624996562731211,1090
1607624996593462540,1093
1607624996623899531,1095
1607624996653921222,1097
1607624996685654128,1099
1607624996715805836,1102
1607624996746832049,1106
1607624996776653161,1109
1607624996807565005,1111
1607624996839166582,1114
1607624996868741677,1117
1607624996900832123,1119
1607624996931461243,1122
1607624996961892058,1125
1607624996992466618,1128
1607624997023232380,1130
1607624997052873043,1133
1607624997083901303,1135
1607624997115404000,1137
1607624997145738654,1139
1607624997176986820,1143
1607624997207337730,1146
1607624997238020291,1148
1607624997269544332,1151
1607624997299458886,1154
1607624997330168263,1157
1607624997360202946,1160
1607624997391472872,1164
1607624997421687589,1167
1607624997452861803,1171
1607624997483612492,1174
1607624997514695377,1176
1607624997545686773,1179
1607624997576079603,1183
1607624997606944438,1186
1607624997637908570,1190
1607624997668662299,1193
1607624997698337523,1196
1607624997728848434,1200
1607624997760086520,1203
1607624997791096381,1206
1607624997821953599,1210
1607624997853288966,1213
1607624997884574349,1217
1607624997913679903,1220
1607624997945395978,1224
1607624997975634215,1227
1607624998006483465,1231
1607624998037502414,1235
1607624998067934668,1238
1607624998098965361,1241
1607624998129830996,1245
1607624998161018201,1249
1607624998191403448,1252
1607624998222352315,1255
1607624998252268309,1258
1607624998283567996,1262
1607624998314988196,1266
1607624998345810022,1269
1607624998376543848,1272
1607624998406071646,1275
1607624998437689160,1278
1607624998467887844,1282
1607624998498668358,1285
1607624998529329767,1288
1607624998559572132,1292
1607624998590764650,1295
1607624998621757486,1299
1607624998651870858,1302
1607624998683302674,1306
1607624998714473176,1309
1607624998744399665,1312
1607624998775358645,1314
1607624998805281615,1317
1607624998836577302,1321
1607624998867149590,1324
1607624998898354236,1326
1607624998929364960,1330
1607624998959056664,1333
1607624998989706265,1336
1607624999020243064,1338
1607624999051744737,1341
1607624999083472364,1345
1607624999113060163,1349
1607624999143336800,1352
1607624999174632935,1355
1607624999204791971,1358
1607624999236767184,1362
1607624999266753067,1366
1607624999296745286,1369
1607624999328765779,1372
1607624999358634573,1375
1607624999390433592,1379
1607624999420706582,1383
1607624999451638585,1387
1607624999482040792,1390
1607624999512856666,1393
1607624999543813278,1396
1607624999574607008,1400
1607624999604495930,1403
1607624999635571486,1406
1607624999665756667,1409
1607624999696771135,1412
1607624999729060239,1415
1607624999759208491,1418
1607624999789007972,1422
1607624999819815878,1425
1607624999851982070,1428
1607624999880813029,1430
1607624999911720712,1433
1607624999943167953,1436
1607624999974190005,1439
1607625000004357745,1443
1607625000035247540,1446
1607625000065082446,1449
1607625000096789816,1452
1607625000127450105,1455
1607625000157880472,1458
1607625000188581466,1462
1607625000219545117,1465
1607625000249734106,1468
1607625000280683294,1470
1607625000311159709,1473
1607625000341810654,1476
1607625000373509096,1480
1607625000403877383,1483
1607625000435360463,1486
1607625000464931590,1489
1607625000495375717,1492
1607625000527222129,1495
1607625000557360397,1498
1607625000588483826,1502
1607625000619131219,1506
1607625000650376186,1509
1607625000680897369,1511
1607625000711512986,1514
1607625000743070435,1517
1607625000772163381,1520
1607625000804160643,1523
1607625000833861947,1526
1607625000864750494,1528
1607625000895827491,1531
1607625000926071328,1533
1607625000956684096,1536
1607625000988237546,1540
1607625001019298383,1543
1607625001049679213,1545
1607625001080756594,1547
1607625001110834701,1550
1607625001142086484,1552
1607625001171953069,1554
1607625001202635887,1557
1607625001233463793,1561
1607625001264628375,1563
1607625001297134697,1566
1607625001326071674,1568
1607625001357998343,1570
1607625001387819936,1573
