rosbagTimestamp,data
1605615048084903496,-28455
1605615048115315612,-28455
1605615048146346969,-28455
1605615048177504119,-28455
1605615048207834314,-28455
1605615048238391552,-28455
1605615048270300744,-28455
1605615048300448249,-28455
1605615048332151518,-28455
1605615048362670996,-28455
1605615048393059368,-28455
1605615048424274374,-28455
1605615048454653818,-28455
1605615048485666390,-28455
1605615048516593905,-28455
1605615048546894756,-28455
1605615048576563086,-28455
1605615048607114500,-28455
1605615048639369265,-28455
1605615048670411502,-28455
1605615048700627551,-28455
1605615048731505946,-28455
1605615048762584759,-28455
1605615048793768693,-28455
1605615048824720816,-28455
1605615048855638027,-28455
1605615048884811023,-28455
1605615048916259953,-28455
1605615048946783143,-28455
1605615048978798096,-28455
1605615049009066306,-28455
1605615049038479913,-28455
1605615049069838378,-28455
1605615049100719588,-28455
1605615049131319323,-28455
1605615049162240373,-28455
1605615049191938176,-28455
1605615049223938281,-28455
1605615049253425777,-28455
1605615049285168630,-28455
1605615049316837851,-28455
1605615049346721192,-28455
1605615049377271454,-28455
1605615049408657951,-28455
1605615049438038565,-28455
1605615049468238455,-28455
1605615049501002378,-28455
1605615049531893860,-28455
1605615049563305253,-28455
1605615049591649918,-28455
1605615049622980062,-28455
1605615049653402290,-28455
1605615049685940195,-28455
1605615049715161703,-28455
1605615049745588571,-28455
1605615049776147217,-28455
1605615049807799670,-28455
1605615049840028514,-28455
1605615049868559709,-28455
1605615049899522584,-28455
1605615049930492820,-28455
1605615049962708352,-28455
1605615049992897297,-28455
1605615050021783728,-28455
1605615050053129425,-28455
1605615050083840520,-28455
1605615050115153352,-28455
1605615050144630256,-28455
1605615050175935088,-28455
1605615050207215695,-28455
1605615050237848614,-28455
1605615050267707954,-28455
1605615050299188372,-28455
1605615050329009376,-28455
1605615050361223212,-28455
1605615050391671521,-28455
1605615050422448121,-28455
1605615050453314547,-28455
1605615050484127596,-28455
1605615050514855876,-28455
1605615050545773599,-28455
1605615050576327029,-28455
1605615050606468069,-28455
1605615050637504897,-28455
1605615050667898613,-28455
1605615050699253877,-28455
1605615050730027534,-28455
1605615050760250975,-28455
1605615050790550866,-28455
1605615050822360632,-28455
1605615050853117809,-28455
1605615050884022219,-28455
1605615050914169339,-28455
1605615050944212906,-28455
1605615050976418646,-28455
1605615051006729513,-28455
1605615051037202973,-28455
1605615051068083351,-28455
1605615051098263080,-28455
1605615051130194800,-28455
1605615051160600675,-28455
1605615051193180692,-28455
1605615051222889310,-28455
1605615051252540104,-28455
1605615051284247501,-28455
1605615051315206472,-28455
1605615051345819742,-28455
1605615051377485475,-28455
1605615051406488676,-28455
1605615051438484940,-28455
1605615051467951891,-28455
1605615051499437397,-28455
1605615051529800169,-28455
1605615051559438226,-28455
1605615051590607792,-28455
1605615051621794222,-28455
1605615051652165217,-28455
1605615051683432512,-28455
1605615051714768672,-28455
1605615051744542027,-28455
1605615051774884318,-28455
1605615051806852134,-28455
1605615051839119699,-28455
1605615051866963044,-28455
1605615051899604630,-28455
1605615051929735302,-28455
1605615051959483697,-28455
1605615051989629505,-28455
1605615052022158673,-28455
1605615052051564919,-28455
1605615052082839702,-28455
1605615052114217750,-28455
1605615052144162116,-28455
1605615052175138751,-28455
1605615052205717109,-28455
1605615052236518669,-28455
1605615052267145732,-28455
1605615052298991562,-28455
1605615052329626817,-28455
1605615052359969300,-28455
1605615052391522998,-28455
1605615052421463876,-28455
1605615052452106618,-28455
1605615052483870496,-28455
1605615052515966762,-28455
1605615052544292322,-28455
1605615052575277597,-28455
1605615052605120041,-28455
1605615052638338306,-28455
1605615052667614662,-28455
1605615052698022042,-28455
1605615052730031714,-28455
1605615052759621419,-28455
1605615052789076946,-28455
1605615052822078280,-28455
1605615052851980053,-28455
1605615052883764090,-28455
1605615052913148544,-28455
1605615052944512321,-28455
1605615052975074518,-28455
1605615053006540472,-28455
1605615053036802217,-28455
1605615053066306321,-28455
1605615053098779103,-28455
1605615053128327303,-28455
1605615053158366486,-28455
1605615053189747062,-28455
1605615053219419744,-28455
1605615053252181426,-28455
1605615053282028542,-28455
1605615053312709493,-28455
1605615053343247114,-28455
1605615053375433461,-28455
1605615053405039582,-28455
1605615053437925234,-28455
1605615053466529582,-28455
1605615053498096976,-28455
1605615053528306593,-28455
1605615053557961995,-28455
1605615053589165801,-28455
1605615053619637917,-28455
1605615053650905468,-28455
1605615053682522783,-28455
1605615053712006534,-28455
1605615053743813964,-28455
1605615053773775449,-28455
1605615053804456592,-28455
1605615053838206704,-28455
1605615053867450356,-28455
1605615053898423279,-28455
1605615053928602719,-28455
1605615053959261302,-28455
1605615053991402144,-28455
1605615054020345600,-28455
1605615054050091755,-28455
1605615054083156609,-28455
1605615054112851147,-28455
1605615054143105884,-28455
1605615054173418830,-28455
1605615054204593643,-28455
1605615054236558675,-28455
1605615054265545812,-28455
1605615054297690430,-28455
1605615054328592184,-28455
1605615054357947645,-28455
1605615054390032742,-28455
1605615054420082645,-28455
1605615054451132017,-28455
1605615054482239053,-28455
1605615054512195898,-28455
1605615054543704892,-28455
1605615054574941082,-28455
1605615054604268223,-28455
1605615054635489661,-28455
1605615054666601018,-28455
1605615054697081358,-28455
1605615054726627830,-28455
1605615054758327674,-28455
1605615054789185587,-28455
1605615054820881944,-28455
1605615054851392844,-28455
1605615054882492361,-28455
1605615054913184384,-28455
1605615054943181422,-28455
1605615054975709693,-28455
1605615055004315768,-28455
1605615055035021935,-28455
1605615055065620293,-28455
1605615055095585394,-28455
1605615055127130420,-28455
1605615055157737194,-28455
1605615055187918074,-28455
1605615055219258713,-28455
1605615055251319650,-28455
1605615055280364995,-28455
1605615055313108021,-28455
1605615055343021922,-28455
1605615055373174930,-28455
1605615055404119436,-28455
1605615055436614587,-28455
1605615055465406904,-28455
1605615055497118045,-28455
1605615055527925685,-28455
1605615055557271674,-28455
1605615055588661434,-28455
1605615055619842775,-28455
1605615055649738532,-28455
1605615055681452360,-28455
1605615055711285172,-28455
1605615055742302863,-28455
1605615055772611360,-28455
1605615055804512743,-28455
1605615055834548181,-28455
1605615055865119883,-28455
1605615055896656717,-28455
1605615055927562918,-28455
1605615055956279779,-28455
1605615055988764210,-28455
1605615056019027267,-28455
1605615056049123378,-28455
1605615056081832483,-28455
1605615056111194216,-28455
1605615056140306058,-28455
1605615056173567139,-28455
1605615056203553936,-28455
1605615056234238182,-28455
1605615056265489509,-28455
1605615056295932568,-28455
1605615056327268599,-28455
1605615056358384468,-28455
1605615056388286464,-28455
1605615056418356174,-28455
1605615056449850736,-28455
1605615056480022271,-28455
1605615056512027207,-28455
1605615056542012725,-28455
1605615056574373826,-28455
1605615056603024221,-28455
1605615056634425373,-28455
1605615056664197448,-28455
1605615056695951565,-28455
1605615056724678089,-28455
1605615056757405435,-28455
1605615056787586507,-28455
1605615056819301999,-28455
1605615056848803926,-28455
1605615056880849759,-28455
1605615056911374003,-28455
1605615056942355950,-28455
1605615056973843311,-28455
1605615057003660250,-28455
1605615057034051244,-28455
1605615057064645762,-28455
1605615057094529614,-28455
1605615057127411137,-28455
1605615057157781811,-28455
1605615057189633113,-28455
1605615057217590860,-28455
1605615057249903864,-28455
1605615057278975865,-28455
1605615057310886559,-28455
1605615057341129680,-28455
1605615057373275994,-28455
1605615057402816001,-28455
1605615057433121714,-28455
1605615057464995225,-28455
1605615057495725200,-28455
1605615057525568027,-28455
1605615057557079132,-28455
1605615057588003318,-28455
1605615057617993251,-28455
1605615057649298466,-28455
1605615057678797353,-28455
1605615057712635177,-28455
1605615057740378680,-28455
1605615057771232945,-28455
1605615057802742642,-28455
1605615057833290919,-28455
1605615057863652729,-28455
1605615057895698274,-28455
1605615057926239190,-28455
1605615057956374117,-28455
1605615057987131197,-28455
1605615058016893895,-28455
1605615058048398280,-28455
1605615058079301089,-28455
1605615058109108044,-28455
1605615058140629965,-28455
1605615058170970911,-28455
1605615058201913753,-28455
1605615058232515822,-28455
1605615058262239416,-28455
1605615058294081949,-28455
1605615058326353705,-28455
1605615058356116627,-28455
1605615058386465509,-28455
1605615058418311242,-28455
1605615058449397158,-28455
1605615058478572648,-28455
1605615058509465921,-28455
1605615058540087031,-28455
1605615058569749119,-28455
1605615058601745255,-28455
1605615058632772354,-28455
1605615058662431499,-28455
1605615058694301009,-28455
1605615058725477741,-28455
1605615058755791071,-28455
1605615058786786009,-28455
1605615058817795764,-28455
1605615058848568107,-28455
1605615058879537413,-28455
1605615058910068378,-28455
1605615058939865188,-28455
1605615058971634537,-28455
1605615059002070012,-28455
1605615059033128695,-28455
1605615059062528700,-28455
1605615059094117502,-28455
1605615059124783668,-28455
1605615059154868866,-28455
1605615059185836188,-28455
1605615059215982059,-28455
1605615059247305962,-28455
1605615059278105569,-28455
1605615059312169028,-28455
1605615059341628138,-28455
1605615059370685803,-28455
1605615059402585297,-28455
1605615059433098821,-28455
1605615059463185619,-28455
1605615059494356336,-28455
1605615059524782850,-28455
1605615059554687758,-28455
1605615059587230973,-28455
1605615059615415122,-28455
1605615059646882963,-28455
1605615059678650871,-28455
1605615059708706821,-28455
1605615059739013718,-28455
1605615059769334023,-28455
1605615059801312655,-28455
1605615059832354026,-28455
1605615059863109473,-28455
1605615059893913336,-28455
1605615059926033793,-28455
1605615059954974433,-28455
1605615059986840646,-28455
1605615060016341453,-28455
1605615060048012752,-28455
1605615060078194111,-28455
1605615060109644127,-28455
1605615060138935523,-28455
1605615060170355203,-28455
1605615060199779048,-28455
1605615060232468792,-28455
1605615060262565639,-28455
1605615060293169500,-28455
1605615060324599483,-28455
1605615060354788299,-28455
1605615060386056009,-28455
1605615060416669854,-28455
1605615060446940686,-28455
1605615060478753459,-28455
1605615060508087831,-28455
1605615060539963581,-28455
1605615060569893353,-28455
1605615060600676736,-28455
1605615060631319990,-28455
1605615060661834985,-28455
1605615060692267548,-28455
1605615060722103847,-28455
1605615060755220221,-28455
1605615060785095592,-28455
1605615060816067202,-28455
1605615060846220081,-28455
1605615060877135434,-28455
1605615060908831214,-28455
1605615060938485526,-28455
1605615060968419970,-28455
1605615061000897264,-28455
1605615061031007038,-28455
1605615061063349354,-28455
1605615061093128340,-28455
1605615061123534886,-28455
1605615061153443921,-28455
1605615061186428838,-28455
1605615061216101518,-28455
1605615061248791550,-28455
1605615061276227945,-28455
1605615061309490049,-28455
1605615061339428749,-28455
1605615061370836013,-28455
1605615061399516264,-28455
1605615061431627537,-28455
1605615061461569501,-28455
1605615061493608325,-28455
1605615061522592740,-28455
1605615061554622188,-28455
1605615061585356514,-28455
1605615061615349327,-28455
1605615061645778529,-28455
1605615061676982302,-28455
1605615061707056044,-28455
1605615061738430827,-28455
1605615061769256418,-28455
1605615061801681967,-28455
1605615061831548602,-28455
1605615061863176541,-28455
1605615061892508673,-28455
1605615061923808031,-28455
1605615061954177520,-28455
1605615061985707601,-28455
1605615062015986722,-28455
1605615062045518952,-28455
1605615062076923079,-28455
1605615062107047094,-28455
1605615062138157137,-28455
1605615062169870068,-28455
1605615062199965922,-28455
1605615062230728121,-28455
1605615062260484770,-28455
1605615062292209158,-28455
1605615062324373263,-28455
1605615062353871669,-28455
1605615062384881871,-28455
1605615062415555301,-28455
1605615062445322062,-28455
1605615062477771227,-28455
1605615062508841622,-28455
1605615062539685966,-28455
1605615062570359715,-28455
1605615062600904663,-28455
1605615062630325340,-28455
1605615062662764777,-28455
1605615062691591206,-28455
1605615062721543218,-28455
1605615062753042643,-28455
1605615062784288784,-28455
1605615062815137288,-28455
1605615062846210371,-28455
1605615062876389618,-28455
1605615062906643970,-28455
1605615062939638678,-28455
1605615062971548444,-28455
1605615062999975828,-28455
1605615063030703306,-28455
1605615063061122780,-28455
1605615063090909606,-28455
1605615063122067361,-28455
1605615063152738711,-28455
1605615063183963443,-28455
1605615063216393760,-28455
1605615063246207146,-28455
1605615063275648687,-28455
1605615063306621577,-28455
1605615063338032520,-28455
1605615063369570089,-28455
1605615063399653366,-28455
1605615063430315563,-28455
1605615063460478810,-28455
1605615063490973293,-28455
1605615063521677187,-28455
1605615063553344389,-28455
1605615063583623414,-28455
1605615063614747921,-28455
1605615063646966107,-28454
1605615063676742052,-28453
1605615063707112470,-28453
1605615063737943597,-28453
1605615063770625565,-28453
1605615063800802732,-28453
1605615063832183883,-28454
1605615063862984514,-28454
1605615063894965545,-28452
1605615063925689055,-28452
1605615063956888667,-28451
1605615063986393569,-28450
1605615064017920418,-28450
1605615064049928872,-28450
1605615064079929557,-28450
1605615064110289798,-28450
1605615064142522896,-28450
1605615064172293657,-28450
1605615064203992412,-28450
1605615064236603467,-28450
1605615064268110795,-28449
1605615064298118680,-28448
1605615064329273395,-28448
1605615064360538288,-28449
1605615064391864654,-28449
1605615064421587031,-28450
1605615064452520304,-28449
1605615064485199039,-28448
1605615064515041226,-28446
1605615064546103940,-28445
1605615064577731942,-28443
1605615064606997768,-28442
1605615064639889691,-28441
1605615064669915112,-28439
1605615064701649451,-28437
1605615064730422695,-28436
1605615064762775923,-28433
1605615064794097616,-28430
1605615064825894005,-28428
1605615064856392263,-28426
1605615064887392001,-28425
1605615064917903732,-28423
1605615064949623959,-28422
1605615064980583376,-28420
1605615065010974466,-28418
1605615065042780806,-28415
1605615065073266873,-28413
1605615065103489512,-28411
1605615065135068265,-28410
1605615065164774193,-28408
1605615065196685847,-28407
1605615065229177732,-28407
1605615065259982107,-28405
1605615065291526267,-28404
1605615065323401184,-28403
1605615065352324958,-28402
1605615065383689116,-28400
1605615065415251197,-28398
1605615065447178883,-28397
1605615065476987725,-28396
1605615065508326186,-28394
1605615065539536423,-28393
1605615065571431244,-28392
1605615065601411128,-28391
1605615065634149640,-28390
1605615065663305961,-28389
1605615065694529638,-28388
1605615065726526348,-28387
1605615065757396548,-28386
1605615065787016843,-28385
1605615065818635341,-28384
1605615065850319503,-28382
1605615065881756334,-28381
1605615065912700519,-28380
1605615065943098009,-28378
